Protein,Len,S0,S0,S1,S1,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
m.32424,125,0,1,0,0,-6.446,-0.8003,0.722397,0.899448,0.460825
m.32437,322,7,9,5,4,4.3,0.8931,0.986629,0.718035,0.819133
m.3251,282,2,1,0,0,-1.917,-0.3558,0.933975,0.913488,0.610203
m.3255,868,2,4,3,3,1.718,0.2685,1,0.867594,0.758879
m.32551,99,2,2,0,1,0.052,0.009,0.998842,0.895456,0.710244
m.32621,249,1,1,0,1,-1.046,-0.1595,0.983691,0.907058,0.668294
m.11754,237,4,3,3,3,-4.07,-1.1662,0.547078,0.871502,0.339476
m.32635,153,6,6,3,4,9.938,0.9459,0.980051,0.697884,0.82165
m.32645,340,0,0,0,0,-0.986,-0.1562,0.984215,0.906882,0.669193
m.3273,568,0,0,0,0,-9.751,-1.4603,0.419463,0.85023,0.247654
m.3276,306,0,1,0,0,-0.62,-0.0914,0.992519,0.902996,0.68623
m.32828,176,11,10,7,10,-2.581,-0.6447,0.805275,0.908279,0.51401
m.32831,225,9,8,1,6,5.799,0.7155,1,0.776838,0.808014
m.3284,767,0,0,0,0,-4.165,-0.7472,0.750916,0.902828,0.478922
m.32846,176,1,1,1,1,-5.711,-1.7973,0.286553,0.831082,0.156677
m.32852,395,1,0,1,1,6.009,0.797,0.99745,0.751574,0.813645
m.33026,112,3,4,2,4,4.997,1.0299,0.968054,0.663241,0.825006
m.11767,390,0,0,0,0,-15.995,-2.3212,0.117843,0.812715,0.062043
m.33059,120,1,1,0,1,4.28,0.6228,1,0.801773,0.800556
m.33136,368,1,1,0,1,-1.314,-0.1468,0.985653,0.906368,0.671736
m.332,282,56,57,38,34,4.043,1.9706,0.435788,0.210238,0.823843
m.33261,166,1,2,0,0,-1.214,-0.144,0.986064,0.906212,0.672489
m.33410,147,1,1,1,1,-6.343,-0.8991,0.670515,0.89241,0.42747
m.33455,109,3,4,5,5,-1.312,-0.2336,0.969222,0.910436,0.647388
m.3347,452,0,2,0,0,6.537,1.1208,0.951463,0.622259,0.827822
m.33471,155,3,1,0,0,5.769,0.8357,0.993263,0.738545,0.816004
m.33472,425,7,8,3,5,11.991,1.8994,0.481758,0.237022,0.82557
m.33492,113,0,1,1,1,-3.343,-0.6752,0.78932,0.906822,0.503565
m.33503,162,1,2,0,2,5.54,0.939,0.980943,0.700589,0.82134
m.33514,310,2,2,3,5,-8.076,-0.9927,0.624446,0.88518,0.396302
m.33520,102,2,4,0,0,3.849,0.3877,1,0.849819,0.775594
m.33573,158,1,1,0,1,-1.557,-0.1453,0.985875,0.906285,0.672139
m.33585,222,1,3,1,4,2.148,0.3329,1,0.858456,0.768294
m.33765,180,0,0,0,0,3.166,0.5292,1,0.823272,0.791747
m.3377,199,6,6,6,6,4.941,2.1564,0.3502,0.148097,0.819603
m.33823,263,5,5,6,9,1.839,0.4192,1,0.844464,0.779514
m.11786,188,5,5,2,3,2.678,0.5542,1,0.817863,0.794235
m.33851,449,2,3,0,0,-11.147,-1.4328,0.431245,0.852068,0.255837
m.33885,143,1,0,0,0,-0.7,-0.0624,0.995086,0.901002,0.693471
m.33899,140,2,2,2,1,-5.395,-0.6624,0.796046,0.907451,0.50795
m.34056,168,3,5,1,2,-3.163,-0.4258,0.907811,0.913786,0.587691
m.34074,300,4,2,0,1,-7.875,-1.2218,0.523148,0.867237,0.321543
m.3410,419,2,2,1,2,-0.913,-0.1359,0.987218,0.905751,0.674655
m.34124,301,0,1,1,2,-9.568,-1.4604,0.419421,0.850223,0.247625
