Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.11482	410	1	1	1	2	2	0	0.364	0.5045	0.296787	0.018939	0.871368
m.1149	736	2	3	3	7	6	0	0.997	1.9002	0.000000	0.000000	0.493893
m.115	216	11	15	9	18	15	13	1.037	2.8051	0.000000	0.000000	0.409295
m.1152	2284	9	2	2	0	0	4	0.033	0.0476	0.992275	0.187604	0.969575
m.11523	224	0	0	1	1	1	0	-0.037	-0.0444	0.999665	0.234068	0.962207
m.11536	523	0	0	0	2	2	2	0.460	0.6937	0.078232	0.003803	0.791386
m.11543	385	16	9	8	14	16	12	1.012	2.5712	0.000000	0.000000	0.424124
m.11553	214	23	22	15	40	28	12	1.265	4.2441	0.000000	0.000000	0.373835
m.11561	392	0	0	0	0	1	0	-0.037	-0.0465	0.999574	0.235075	0.961985
m.1157	147	6	5	3	8	8	4	1.237	2.3102	0.000000	0.000000	0.445309
m.11575	150	3	7	4	4	3	2	0.347	0.6079	0.152870	0.008277	0.827193
m.11603	537	0	6	3	4	2	4	0.630	1.1358	0.000492	0.000019	0.641482
m.1163	121	6	7	7	8	12	4	0.639	1.4159	0.000006	0.000000	0.575012
m.1164	164	3	3	1	3	2	0	0.666	0.9295	0.007170	0.000293	0.703990
m.11654	271	3	2	2	0	3	0	-0.020	-0.0270	1.000000	0.225609	0.963970
m.1168	430	1	0	2	2	1	1	0.091	0.1323	0.949066	0.143611	0.970375
m.11683	186	3	0	0	0	0	0	-0.042	-0.0530	0.999283	0.238172	0.961283
m.11687	197	3	3	1	1	3	0	0.172	0.2215	0.845162	0.100721	0.961915
m.11700	147	0	0	1	0	0	0	-0.141	-0.1825	0.992106	0.292173	0.942575
m.11724	829	9	8	5	5	10	2	0.591	1.1585	0.000355	0.000013	0.635342
m.11725	118	0	1	1	1	1	2	-0.017	-0.0217	1.000000	0.222994	0.964476
m.1173	565	0	0	1	0	0	1	-0.101	-0.1304	0.994003	0.272363	0.951381
m.11744	384	4	7	3	6	5	0	0.827	1.5139	0.000001	0.000000	0.555969
m.11754	237	10	7	7	10	7	5	0.748	1.6928	0.000000	0.000000	0.525160
m.11767	390	2	2	3	1	1	1	-0.465	-0.6184	0.924216	0.364447	0.533149
m.1177	593	0	0	0	0	2	0	0.130	0.1719	0.910887	0.123872	0.967942
